period,hour,demand(MWh),air_temp,precipitable_water,humidity
2023-01-01,0,873.969,6.6,0,54
2023-01-01,1,831.297,6.5,0,56
2023-01-01,2,791.669,5.9,0,65
2023-01-01,3,764.382,7.4,0,59
2023-01-01,4,747.951,7.4,0,60
2023-01-01,5,743.485,8.3,0,57
2023-01-01,6,750.985,8.7,0,54
2023-01-01,7,764.083,8.8,0,50
2023-01-01,8,774.067,8.7,0,55
2023-01-01,9,749.461,9.3,0,60
2023-01-01,10,686.345,9.8,0,56
2023-01-01,11,656.076,10.1,0,58
2023-01-01,12,650.551,10,0,57
2023-01-01,13,612.025,9.9,0,54
2023-01-01,14,591.142,10.2,0,51
2023-01-01,15,614.664,10.5,0,51
2023-01-01,16,641.672,9.3,0,51
2023-01-01,17,719.686,8.8,0,52
2023-01-01,18,824.284,8.4,0,55
2023-01-01,19,867.002,7.8,0,59
2023-01-01,20,867.485,8,0,62
2023-01-01,21,846.129,7.5,0,65
2023-01-01,22,821.286,6.6,0,60
2023-01-01,23,804.508,6.8,0,48
2023-01-02,0,792.614,6.7,0,48
2023-01-02,1,751.817,6.4,0,47
2023-01-02,2,722.317,6.1,0,48
2023-01-02,3,695.643,5.9,0,47
2023-01-02,4,686.117,5.9,0,52
2023-01-02,5,690.531,5.7,0,55
2023-01-02,6,714.578,5.6,0,51
2023-01-02,7,745.84,5.2,0,52
2023-01-02,8,806.745,5.2,0,62
2023-01-02,9,872.573,5.2,0,66
2023-01-02,10,847.297,5.3,0,64
2023-01-02,11,801.521,5.7,0,64
2023-01-02,12,761.482,5.8,0,64
2023-01-02,13,717.985,6.9,0,59
2023-01-02,14,733.68,6.3,0,60
2023-01-02,15,740.325,7,0,53
2023-01-02,16,764.678,6,0,56
2023-01-02,17,842.34,5.3,0,60
2023-01-02,18,957.639,4.6,0,59
2023-01-02,19,988.8,4.3,0,59
2023-01-02,20,982.803,4.5,0,64
2023-01-02,21,964.508,4.5,0,64
2023-01-02,22,926.876,4.7,0,63
2023-01-02,23,899.466,4.9,0,61
2023-01-03,0,875.701,5.1,0,62
2023-01-03,1,827.209,5.1,0,59
2023-01-03,2,783.413,5.4,0,62
2023-01-03,3,755.915,4.9,0,57
2023-01-03,4,742.469,4.9,0,62
2023-01-03,5,751.797,4.9,0,60
2023-01-03,6,767.005,5.4,0,62
2023-01-03,7,799.054,5.4,0,59
2023-01-03,8,840.644,5.5,0,55
2023-01-03,9,867.595,5.9,0,56
2023-01-03,10,876.017,6.3,0,54
2023-01-03,11,816.617,6.7,0,54
2023-01-03,12,771.407,7.2,0,49
2023-01-03,13,724.979,7.2,0,50
2023-01-03,14,728.126,6.9,0,51
2023-01-03,15,739.651,6.9,0,53
2023-01-03,16,769.093,7.1,0,53
2023-01-03,17,847.209,6.6,0,52
2023-01-03,18,952.545,6.3,0,53
2023-01-03,19,985.725,6.5,0,57
2023-01-03,20,976.977,6,0,56
2023-01-03,21,957.502,6.1,0,54
2023-01-03,22,924.989,6.1,0,57
2023-01-03,23,901.624,6,0,54
2023-01-04,0,886.956,6.2,0,63
2023-01-04,1,831.08,5.9,0,63
2023-01-04,2,797.26,5.6,0,64
2023-01-04,3,771.268,5.5,0,67
2023-01-04,4,760.54,5.4,0,68
2023-01-04,5,764.588,5.5,0,68
2023-01-04,6,782.259,5.2,0,71
2023-01-04,7,821.623,5.1,0,70
2023-01-04,8,876.602,3.1,0,75
2023-01-04,9,888.897,5.3,0,65
2023-01-04,10,801.718,5.9,0,60
2023-01-04,11,744.38,6.7,0,57
2023-01-04,12,696.617,7.2,0,57
2023-01-04,13,649.645,7.4,0,55
2023-01-04,14,660.18,7.9,0,54
2023-01-04,15,674.789,8.1,0,53
2023-01-04,16,709.686,7.6,0,55
2023-01-04,17,793.644,7.4,0,54
2023-01-04,18,910.138,6.8,0,59
2023-01-04,19,961.796,6.9,0,62
2023-01-04,20,964.079,6.9,0,61
2023-01-04,21,942.092,4.6,0,67
2023-01-04,22,914.858,4.6,0,67
2023-01-04,23,894.495,3.5,0,71
2023-01-05,0,882.114,2.7,0,72
